Номер	слово			звучит		перевод
103.	TV			тиви			телевидениие

104.	TV set			тиви сэт		телевизор

105.	felt pen		фэл пэн			фломастер

106.	settle			сэтл			урегулировать

107.	needle			нидол			иголка

108.	I			ай			я

109.	five			файв			пять

110.	nine			найн			девять

111.	size			сайз			размер

112.	line			ляин			строка, линия

113.	file			файл			файл, папка, скоросшиватель

114.	time			тайм			время, раз

115.	slide			слайд			слайд

116.	tie			тай			галстук

117.	life			лайф			жизнь

118.	find			файнд			находить

119.	my			май			мой, свой

120.	eye			ай			глаз

121.	type			тайп			тип, модель, печатать

122.	bye-bye			бай-бай			пока, всего хорошего

123.	fine			файн			ясный, прекрасный

124.	it						он, она, оно, это (к животным и предметам)

125.	be in			би эн			быть на месте, быть у себя

126.	in time			ин тайм			вовремя

127.	ill			эл			больной

128.	sit			cэт			сидеть

129.	empty			эмти			пустой

130.	sleepy			слипэй			сонный

131.	be sleepy		би слипэй		хотеть спать

132.	be ill			би элл			болеть, быть больным	

133.	slim			слэм			стройный, изящный, худой

134.	silly			сэллий			глупый

135.	film			фэлм			фильм, пленка

136.	tin			тин			консервная банка

137.	bill			бил			счет

138.	telly			тэллий			телевизор, телевидение

139.	visit			визит			визит, посещение, навещать

140.	tennis			тэннес			теннис

141.	list			лиыст			список

142.	splendid		сплэндид		великолепный

143.	event			ивэнт			событие, соревнование

144.	penny			пэнней			пенни

145.	little			литтл			маленький

146.	idle			айдл			праздный, не занятый делом

147.	be idle			би айдл			бездельничать, сидеть без дела

148.	simple			симпол			простой, несложный

149.	listen			лисэн			слушать

150.	no			ноо			нет

151.	so			сой			так, такой

152.	note			нойт			запись, примечание, записка

153.	notes			нойтс			записки

154.	nose			нойс			нос

155.	open			оупэн			открывать, открытый

156.	old			олт			старый

157.	post			пост			почта, отправлять по почте

158.	model			модол			модель, образец

159.	bottle			боттл			бутылка

160.	stop			стоп			останавливать, останавливаться, прекращать

161.	on my list		он май лэст		у меня в списке

162.	boss			босс			босс, начальник

163.	people			пипл			люди, родня, родственники

164.	old people		олд пипл		старые люди

165.	lesson			лесэн			урок

166.	he			хи			он

167.	him			хим			его, ему

168.	his			хис			его, свой

169.	help			хэлп			помощь, помогать

170.	hotel lobby		хотэл лоббей		вестибюль гостиницы

171.	hotel			хотэл			отель

172.	hobby			хобби			хобби, любимое занятие

173.	hold			холд			держать (в руках)

174.	hot			хот			горячий

175.	hello			хэллоу			привет

176.	photo			фото			фотография

177.	in his photo		ин хис фото		на его фотографии

178.	phone			фон			телефон, звонить по телефону

179.	boy			бой			мальчик

180.	toy			той			игрушка

181.	boil			боил			варить, кипятить

182.	boiled			боилд			варенный, кипяченый

183.	noise			нойс			шум

184.	noisy			нойзей			шумный

185.	she			ши			она

186.	shop			шоп			магазин, цех, мастерская

187.	head			хэд			голова

188.	face			фэйс			лицо

189.	hair			хэа			волосы

190.	ears			иэрс			уши

191.	lips			лэпс			губы

192.	mouth			мауф			рот

193.	tooth			тююф			зуб

194.	teeth			тииф			зубы

195.	forehead		фохэд			лоб

196.	chin			чен			подбородок

197.	cheek			чиик			щека

198.	eyebrow			айбрав			бровь

199.	eyelash			айлаш			ресница

200.	beard			биэд			борода

201.	moustache		мэсташь			усы

202.	neck			нэк			шея

203.	body			бодей			тело

204.	chest			чэст			грудь

205.	back			бак			спина

206.	shoulder		шолда			плечо

207.	hand			ханд			рука (кисть)

208.	arm			ам			рука 2

209.	finger			фингэ			палец

210.	elbow			элбо			локоть

211.	leg			лэг			нога

212.	foot			фоот			нога, ступня

213.	feet			фиит			ноги

214.	knee			нии			колено

215.	toe			той			палец (на ногах)

216.	thumb			сам			большой палец (на руках)

217.	skin			скин			кожа

218.	nail			наил			ноготь

219.	dish			диш			блюдо

220.	fish			фиш			рыба

221.	finish			финишь			кончать, заканчивать

222.	shelf			шэлф			полка

223.	shelves			шэлфс			полки

224.	ship			шип			корабль, пароход

225.	shy			шай			скромный, застенчивый

226.	tape			тэйп			запись, магнитоф. пленка, записывать на пленку

227.	name			нэйм			имя

228.	table			тэйбл			стол

229.	baby			бейби			младенец

230.	lady			лэйди			дама

231.	lazy			лэйзи			ленивый

232.	be lazy			би лэйзи		лениться

233.	late			лэйт			поздний

234.	be late			би лэйт			опаздывать

235.	mail			мэил			почта, корреспонденция

236.	say			сэй			сказать (что-либо)

237.	pay			пэй			платить, плата

238.	day			дэй			день

239.	daily			дэйли			ежедневно

240.	holiday			холидэй			праздник, отпуск
